subject,count,link
"1741-1791",6,"https://www.viomenil.mountvernon.org/browse.html#1741-1791"
"puerto plata, dominican republic",6,"https://www.viomenil.mountvernon.org/browse.html#puerto%20plata,%20dominican%20republic"
"thomas graves",6,"https://www.viomenil.mountvernon.org/browse.html#thomas%20graves"
"1725-1802",6,"https://www.viomenil.mountvernon.org/browse.html#1725-1802"
"1740-1816",6,"https://www.viomenil.mountvernon.org/browse.html#1740-1816"
"george rodney",6,"https://www.viomenil.mountvernon.org/browse.html#george%20rodney"
"jacques-melchior de barras de saint-laurent",6,"https://www.viomenil.mountvernon.org/browse.html#jacques-melchior%20de%20barras%20de%20saint-laurent"
"1720-1792",6,"https://www.viomenil.mountvernon.org/browse.html#1720-1792"
"yorktown, virginia",6,"https://www.viomenil.mountvernon.org/browse.html#yorktown,%20virginia"
"james river",6,"https://www.viomenil.mountvernon.org/browse.html#james%20river"
"paris, france",6,"https://www.viomenil.mountvernon.org/browse.html#paris,%20france"
"providence, rhode island",6,"https://www.viomenil.mountvernon.org/browse.html#providence,%20rhode%20island"
"1718-1792",6,"https://www.viomenil.mountvernon.org/browse.html#1718-1792"
"1760-1802",6,"https://www.viomenil.mountvernon.org/browse.html#1760-1802"
"dominique sheldon",6,"https://www.viomenil.mountvernon.org/browse.html#dominique%20sheldon"
"the west indies",6,"https://www.viomenil.mountvernon.org/browse.html#the%20west%20indies"
"alexandre marie eleonor of saint-mauris, count of montbarrey, then prince of montbarrey",5,"https://www.viomenil.mountvernon.org/browse.html#alexandre%20marie%20eleonor%20of%20saint-mauris,%20count%20of%20montbarrey,%20then%20prince%20of%20montbarrey"
"long island, new york",5,"https://www.viomenil.mountvernon.org/browse.html#long%20island,%20new%20york"
"1739-1800",5,"https://www.viomenil.mountvernon.org/browse.html#1739-1800"
"françois claude amour, marquis de bouillé",5,"https://www.viomenil.mountvernon.org/browse.html#fran%C3%A7ois%20claude%20amour,%20marquis%20de%20bouill%C3%A9"
"1737-1804",5,"https://www.viomenil.mountvernon.org/browse.html#1737-1804"
"gabrielle marguerite de bourdon",5,"https://www.viomenil.mountvernon.org/browse.html#gabrielle%20marguerite%20de%20bourdon"
"1727-1801",5,"https://www.viomenil.mountvernon.org/browse.html#1727-1801"
"sandy hook, new jersey",5,"https://www.viomenil.mountvernon.org/browse.html#sandy%20hook,%20new%20jersey"
"saint-domingue",5,"https://www.viomenil.mountvernon.org/browse.html#saint-domingue"
